Date,Price (SP500),,Date1,Price (MSCI),,Date2,Price (GFD),,Date3,Price (GSCI),,Date4,Price (NAREIT),,Date5,Price (SP500 TR)
1/1/72,103.94,,1/1/72,124.25,,1/1/72,6.09,,1/1/72,144.75,,1/1/72,101.22,,1/1/88,257.47
2/1/72,106.57,,2/1/72,132.41,,2/1/72,6.04,,2/1/72,144.35,,2/1/72,102.18,,2/1/88,269.48
3/1/72,107.2,,3/1/72,136.78,,3/1/72,6.12,,3/1/72,146.26,,3/1/72,102.44,,3/1/88,261.15
4/1/72,107.67,,4/1/72,140.06,,4/1/72,6.14,,4/1/72,150.54,,4/1/72,102.7,,4/1/88,264.04
5/1/72,109.53,,5/1/72,144.62,,5/1/72,6.05,,5/1/72,154.06,,5/1/72,101.15,,5/1/88,266.32
6/1/72,107.14,,6/1/72,140.79,,6/1/72,6.15,,6/1/72,158.14,,6/1/72,101.16,,6/1/88,278.54
7/1/72,107.39,,7/1/72,148.39,,7/1/72,6.12,,7/1/72,156.71,,7/1/72,104.02,,7/1/88,277.49
8/1/72,111.09,,8/1/72,150.05,,8/1/72,6.42,,8/1/72,166.07,,8/1/72,102.84,,8/1/88,268.07
9/1/72,110.55,,9/1/72,145.17,,9/1/72,6.54,,9/1/72,178.64,,9/1/72,105.89,,9/1/88,279.49
10/1/72,111.58,,10/1/72,146.71,,10/1/72,6.41,,10/1/72,176.83,,10/1/72,108.9,,10/1/88,287.27
11/1/72,116.67,,11/1/72,156.38,,11/1/72,6.28,,11/1/72,183.79,,11/1/72,111.21,,11/1/88,283.18
12/1/72,118.05,,12/1/72,161.56,,12/1/72,6.41,,12/1/72,198.49,,12/1/72,111.19,,12/1/88,288.12
1/1/73,116.03,,1/1/73,164.35,,1/1/73,6.54,,1/1/73,205.27,,1/1/73,111.57,,1/1/89,309.21
2/1/73,111.68,,2/1/73,177.94,,2/1/73,6.64,,2/1/73,214.17,,2/1/73,104.39,,2/1/89,301.51
3/1/73,111.52,,3/1/73,179.07,,3/1/73,6.73,,3/1/73,209.07,,3/1/73,106.05,,3/1/89,308.54
4/1/73,106.97,,4/1/73,169.05,,4/1/73,6.7,,4/1/73,221.69,,4/1/73,101.94,,4/1/89,324.56
5/1/73,104.95,,5/1/73,173.17,,5/1/73,6.93,,5/1/73,262.12,,5/1/73,97.82,,5/1/89,337.69
6/1/73,104.26,,6/1/73,177.46,,6/1/73,6.94,,6/1/73,257.68,,6/1/73,98.72,,6/1/89,335.78
7/1/73,108.22,,7/1/73,175.28,,7/1/73,7.43,,7/1/73,324.09,,7/1/73,100.87,,7/1/89,366.1
8/1/73,104.25,,8/1/73,166.39,,8/1/73,7.25,,8/1/73,332.06,,8/1/73,94.28,,8/1/89,373.25
9/1/73,108.43,,9/1/73,165.29,,9/1/73,6.9,,9/1/73,315.38,,9/1/73,101.67,,9/1/89,371.74
10/1/73,108.29,,10/1/73,168.86,,10/1/73,6.71,,10/1/73,298.56,,10/1/73,102.92,,10/1/89,363.11
11/1/73,95.96,,11/1/73,144.58,,11/1/73,6.69,,11/1/73,314.19,,11/1/73,88.48,,11/1/89,370.51
12/1/73,97.55,,12/1/73,138.67,,12/1/73,6.9,,12/1/73,347.27,,12/1/73,80.93,,12/1/89,379.41
1/1/74,96.57,,1/1/74,139.62,,1/1/74,7,,1/1/74,386.02,,1/1/74,83.44,,1/1/90,353.94
2/1/74,96.22,,2/1/74,144.27,,2/1/74,7.01,,2/1/74,383.97,,2/1/74,87.26,,2/1/90,358.5
3/1/74,93.98,,3/1/74,140.56,,3/1/74,7.41,,3/1/74,339.78,,3/1/74,84.05,,3/1/90,368
4/1/74,90.31,,4/1/74,144.35,,4/1/74,7.66,,4/1/74,343.54,,4/1/74,73.77,,4/1/90,358.82
5/1/74,87.28,,5/1/74,138.74,,5/1/74,7.52,,5/1/74,320.3,,5/1/74,69.6,,5/1/90,393.8
6/1/74,86,,6/1/74,132.48,,6/1/74,7.64,,6/1/74,360.07,,6/1/74,63.2,,6/1/90,391.14
7/1/74,79.31,,7/1/74,125.79,,7/1/74,7.89,,7/1/74,445.88,,7/1/74,62.19,,7/1/90,389.89
8/1/74,72.15,,8/1/74,112.86,,8/1/74,8.11,,8/1/74,424.01,,8/1/74,51.03,,8/1/90,354.65
9/1/74,63.54,,9/1/74,104.7,,9/1/74,7.94,,9/1/74,475.31,,9/1/74,52.76,,9/1/90,337.39
10/1/74,73.9,,10/1/74,105.65,,10/1/74,7.79,,10/1/74,518.09,,10/1/74,57.45,,10/1/90,335.95
11/1/74,69.97,,11/1/74,109.04,,11/1/74,7.64,,11/1/74,528.17,,11/1/74,51.43,,11/1/90,357.67
12/1/74,68.56,,12/1/74,107.96,,12/1/74,7.4,,12/1/74,484.49,,12/1/74,46.75,,12/1/90,367.63
1/1/75,76.98,,1/1/75,127.26,,1/1/75,7.53,,1/1/75,408.74,,1/1/75,61.16,,1/1/91,383.64
2/1/75,81.59,,2/1/75,144.06,,2/1/75,7.46,,2/1/75,366.18,,2/1/75,58.34,,2/1/91,411.08
3/1/75,83.36,,3/1/75,142.55,,3/1/75,8.01,,3/1/75,397.12,,3/1/75,63.56,,3/1/91,421.03
4/1/75,87.3,,4/1/75,149.31,,4/1/75,8.31,,4/1/75,378.8,,4/1/75,60.11,,4/1/91,422.03
5/1/75,91.15,,5/1/75,148.21,,5/1/75,8.04,,5/1/75,373.11,,5/1/75,62.16,,5/1/91,440.24
6/1/75,95.19,,6/1/75,142.46,,6/1/75,7.96,,6/1/75,379.26,,6/1/75,66.13,,6/1/91,420.07
7/1/75,88.75,,7/1/75,136.62,,7/1/75,8.2,,7/1/75,408.96,,7/1/75,66.28,,7/1/91,439.65
8/1/75,86.88,,8/1/75,136.43,,8/1/75,8.22,,8/1/75,448.24,,8/1/75,65.32,,8/1/91,450.06
9/1/75,83.87,,9/1/75,130.25,,9/1/75,8.48,,9/1/75,453.35,,9/1/75,60.33,,9/1/91,442.53
10/1/75,89.04,,10/1/75,141.51,,10/1/75,7.91,,10/1/75,416.9,,10/1/75,59.5,,10/1/91,448.48
11/1/75,91.24,,11/1/75,144.88,,11/1/75,8.14,,11/1/75,411.82,,11/1/75,60.33,,11/1/91,430.41
12/1/75,90.19,,12/1/75,148.02,,12/1/75,7.76,,12/1/75,401.05,,12/1/75,63.74,,12/1/91,479.63
1/1/76,100.86,,1/1/76,155.86,,1/1/76,7.8,,1/1/76,381.86,,1/1/76,73.03,,1/1/92,470.7
2/1/76,99.71,,2/1/76,154.68,,2/1/76,7.77,,2/1/76,403.7,,2/1/76,75.88,,2/1/92,476.79
3/1/76,102.77,,3/1/76,152.08,,3/1/76,7.66,,3/1/76,404.53,,3/1/76,75.21,,3/1/92,467.52
4/1/76,101.64,,4/1/76,151.4,,4/1/76,7.67,,4/1/76,420.1,,4/1/76,75.76,,4/1/92,481.25
5/1/76,100.18,,5/1/76,147.31,,5/1/76,7.96,,5/1/76,427.7,,5/1/76,74.25,,5/1/92,483.6
6/1/76,104.28,,6/1/76,149.79,,6/1/76,7.86,,6/1/76,420.56,,6/1/76,75.28,,6/1/92,476.41
7/1/76,103.44,,7/1/76,148.05,,7/1/76,7.86,,7/1/76,383.33,,7/1/76,77.61,,7/1/92,495.87
8/1/76,102.91,,8/1/76,148.15,,8/1/76,7.66,,8/1/76,372.55,,8/1/76,79.91,,8/1/92,485.72
9/1/76,105.24,,9/1/76,145.6,,9/1/76,7.55,,9/1/76,335.73,,9/1/76,82.58,,9/1/92,491.43
10/1/76,102.9,,10/1/76,136.32,,10/1/76,7.42,,10/1/76,331.59,,10/1/76,83.62,,10/1/92,493.13
11/1/76,102.1,,11/1/76,138.01,,11/1/76,7.01,,11/1/76,336.32,,11/1/76,87.24,,11/1/92,509.92
12/1/76,107.46,,12/1/76,153.55,,12/1/76,6.81,,12/1/76,353.23,,12/1/76,94.96,,12/1/92,516.18
1/1/77,102.03,,1/1/77,152.66,,1/1/77,7.4,,1/1/77,352.29,,1/1/77,96.68,,1/1/93,520.49
2/1/77,99.82,,2/1/77,156.05,,2/1/77,7.45,,2/1/77,351.42,,2/1/77,96.23,,2/1/93,527.59
3/1/77,98.42,,3/1/77,156.56,,3/1/77,7.42,,3/1/77,364.21,,3/1/77,96.58,,3/1/93,538.72
4/1/77,98.44,,4/1/77,161.15,,4/1/77,7.45,,4/1/77,383.26,,4/1/77,100.11,,4/1/93,525.7
5/1/77,96.12,,5/1/77,160.51,,5/1/77,7.38,,5/1/77,370.1,,5/1/77,98.98,,5/1/93,539.76
6/1/77,100.48,,6/1/77,164.12,,6/1/77,7.2,,6/1/77,361.14,,6/1/77,104.03,,6/1/93,541.34
7/1/77,98.85,,7/1/77,161.67,,7/1/77,7.42,,7/1/77,330.39,,7/1/77,107.48,,7/1/93,539.16
8/1/77,96.77,,8/1/77,168.83,,8/1/77,7.28,,8/1/77,333.63,,8/1/77,108.66,,8/1/93,559.62
9/1/77,96.53,,9/1/77,173.87,,9/1/77,7.41,,9/1/77,345.8,,9/1/77,106.97,,9/1/93,555.33
10/1/77,92.34,,10/1/77,178.25,,10/1/77,7.62,,10/1/77,355.75,,10/1/77,105.77,,10/1/93,566.82
11/1/77,94.83,,11/1/77,176.77,,11/1/77,7.55,,11/1/77,370.87,,11/1/77,112.82,,11/1/93,561.41
12/1/77,95.1,,12/1/77,183.38,,12/1/77,7.78,,12/1/77,389.86,,12/1/77,113.07,,12/1/93,568.2
1/1/78,89.25,,1/1/78,185.78,,1/1/78,7.94,,1/1/78,402.43,,1/1/78,109.44,,1/1/94,587.52
2/1/78,87.04,,2/1/78,187.97,,2/1/78,8.04,,2/1/78,408.77,,2/1/78,110.68,,2/1/94,571.57
3/1/78,89.21,,3/1/78,201.71,,3/1/78,8.15,,3/1/78,450.97,,3/1/78,114.95,,3/1/94,546.65
4/1/78,96.83,,4/1/78,200.31,,4/1/78,8.24,,4/1/78,460.66,,4/1/78,115.56,,4/1/94,553.66
5/1/78,97.24,,5/1/78,204.47,,5/1/78,8.42,,5/1/78,495.79,,5/1/78,113.52,,5/1/94,562.75
6/1/78,95.53,,6/1/78,213.76,,6/1/78,8.62,,6/1/78,449.49,,6/1/78,113.25,,6/1/94,548.96
7/1/78,100.68,,7/1/78,232.44,,7/1/78,8.56,,7/1/78,461.74,,7/1/78,116.19,,7/1/94,566.98
8/1/78,103.29,,8/1/78,237.23,,8/1/78,8.39,,8/1/78,474.34,,8/1/78,121.1,,8/1/94,590.23
9/1/78,102.54,,9/1/78,244.38,,9/1/78,8.56,,9/1/78,501.02,,9/1/78,122.75,,9/1/94,575.8
10/1/78,93.15,,10/1/78,258.53,,10/1/78,8.96,,10/1/78,506.05,,10/1/78,109.81,,10/1/94,588.73
11/1/78,94.7,,11/1/78,234.57,,11/1/78,8.86,,11/1/78,519.15,,11/1/78,110.5,,11/1/94,567.29
12/1/78,96.11,,12/1/78,246.28,,12/1/78,9.15,,12/1/78,513.08,,12/1/78,111.21,,12/1/94,575.71
1/1/79,99.93,,1/1/79,247.84,,1/1/79,8.95,,1/1/79,550.09,,1/1/79,119.72,,1/1/95,590.64
2/1/79,96.28,,2/1/79,246.6,,2/1/79,9.17,,2/1/79,582.29,,2/1/79,119.46,,2/1/95,613.65
3/1/79,101.59,,3/1/79,252.37,,3/1/79,9.11,,3/1/79,571.95,,3/1/79,128.96,,3/1/95,631.76
4/1/79,101.76,,4/1/79,251.44,,4/1/79,9.35,,4/1/79,606.17,,4/1/79,130.91,,4/1/95,650.36
5/1/79,99.08,,5/1/79,246.27,,5/1/79,9.06,,5/1/79,577.61,,5/1/79,130.73,,5/1/95,676.36
6/1/79,102.91,,6/1/79,250.72,,6/1/79,8.81,,6/1/79,585.34,,6/1/79,140.89,,6/1/95,692.07
